code,title,section,parent,est_hours
1,Atomic structure,Physical chemistry,,8
2,"Atoms, molecules and stoichiometry",Physical chemistry,,10
3,Chemical bonding,Physical chemistry,,10
4,States of matter,Physical chemistry,,8
5,Chemical energetics,Physical chemistry,,10
6,Electrochemistry,Physical chemistry,,10
7,Equilibria,Physical chemistry,,10
8,Reaction kinetics,Physical chemistry,,10
9,The Periodic Table: chemical periodicity,Inorganic chemistry,,8
10,Group 2,Inorganic chemistry,,6
11,Group 17,Inorganic chemistry,,6
12,Nitrogen and sulfur,Inorganic chemistry,,8
